reference,city,latitude,longitude,nearest_destination_id,nearest_destination_name
CA - QC - Saint Jerome,Saint Jerome,45.779465,-74.01601,625,Montreal
CA - QC - Saint-Eustache,Saint-Eustache,45.580620735962,-73.87534767334,625,Montreal
CA - QC - Saint-Ulric,Saint-Ulric,48.813267,-67.62644,50497,Tadoussac
CA - QC - Sainte Anne de Beaupre,Sainte Anne de Beaupre,47.02062,-70.932304,626,Quebec City
CA - QC - Sainte-Agathe-Des-Monts,Sainte-Agathe-Des-Monts,46.03502,-74.30157,28611,Mont Tremblant
CA - QC - Sainte-Agathe-des-Monts,Sainte-Agathe-des-Monts,46.040851593018,-74.271697998047,28611,Mont Tremblant
CA - QC - Sept Iles,Sept Iles,50.2093455,-66.3872285,23636,Northwest Territories
CA - QC - Sherbrooke,Sherbrooke,45.39026333333334,-71.95773,28145,Stowe
CA - QC - Stoneham,Stoneham,46.78631,-71.359116,626,Quebec City
CA - QC - Sutton,Sutton,45.1053428649905,-72.5778350830075,28145,Stowe
CA - QC - Terrebonne,Terrebonne,45.721637862915,-73.69447163330099,625,Montreal
CA - QC - Trois-Rivieres,Trois-Rivieres,46.3188231232908,-72.6005050839842,625,Montreal
CA - QC - Val D'or,Val D'or,48.100595,-77.81179,28611,Mont Tremblant
CA - QC - Vaudreuil,Vaudreuil,45.41652,-74.013725,625,Montreal
CA - QC - Vaudreuil Dorion,Vaudreuil Dorion,45.4125,-74.02598166666667,625,Montreal
CA - QC - Venise-en-Quebec,Venise-en-Quebec,45.082134246826,-73.149505615234,625,Montreal
CA - QC - Ville de Quebec,Ville de Quebec,46.81340217590338,-71.207585334778,626,Quebec City
CA - QC - Wendake,Wendake,46.857307434082,-71.35758972168,626,Quebec City
CA - Qualicum Beach,Qualicum Beach,49.358762954956006,-124.46055024292,23789,Sunshine Coast
CA - Quebec,Quebec,46.811172,-71.20854,626,Quebec City
CA - Quebec City,Quebec City,46.8090042487505,-71.23493790277989,626,Quebec City
CA - Queen Charlotte,Queen Charlotte,53.254455566406,-132.06846618652,942,Ketchikan
CA - Quesnel,Quesnel,52.975553,-122.4823,50582,Algonquin Provincial Park
CA - Quinte West,Quinte West,44.13039011149067,-77.58168019856801,28610,Peterborough & the Kawarthas
CA - Radium Hot Springs,Radium Hot Springs,50.62041347460936,-116.07342383645472,611,Banff
CA - Raleigh,Raleigh,51.55769,-55.730614,28792,St John's
CA - Red Deer,Red Deer,52.25618154946983,-113.829191560296,817,Calgary
CA - Red Deer County No 23,Red Deer County No 23,52.213882,-113.81182,817,Calgary
CA - Red Lake,Red Lake,51.01129933333333,-93.81246733333334,50494,Winnipeg
CA - Regina,Regina,50.44051317801862,-104.58700899298988,22225,North Dakota
CA - Renfrew,Renfrew,45.482757568359,-76.650321960449,622,Ottawa
CA - Revelstoke,Revelstoke,50.9989564734741,-118.21950843806184,50914,Revelstoke
CA - Rexdale,Rexdale,43.73554,-79.60236,623,Toronto
CA - Richmond,Richmond,49.18679248353827,-123.12779125075896,616,Vancouver
CA - Richmond - British Columbia,Richmond - British Columbia,49.177578,-123.131226,616,Vancouver
CA - Richmond Hill,Richmond Hill,43.86552158818632,-79.3969519722708,623,Toronto
CA - Rimbey,Rimbey,52.639793,-114.25059,28470,Edmonton
CA - Rimouski,Rimouski,48.454639434814,-68.523681640625,50497,Tadoussac
CA - Riviere-Du-Loup,Riviere-Du-Loup,47.827023,-69.55581,50497,Tadoussac
CA - Riviere-du-Loup,Riviere-du-Loup,47.8375129699705,-69.5492744445805,50497,Tadoussac
CA - Rocky Harbour,Rocky Harbour,49.590164,-57.91623,4413,Sydney
CA - Rocky Mountain House,Rocky Mountain House,52.37100991333,-114.910028275145,611,Banff
CA - Rossland,Rossland,49.0925516,-117.81236199999998,22366,Kelowna & Okanagan Valley
CA - SK - Assiniboia,Assiniboia,49.635033,-106.0035,22221,Montana
CA - SK - Estevan,Estevan,49.13966356958,-102.981158514405,22225,North Dakota
CA - SK - Lloydminster,Lloydminster,53.27685,-109.97914,28470,Edmonton
CA - SK - Martensville,Martensville,52.280888,-106.66994,75,Canada
CA - SK - Meadow Lake,Meadow Lake,54.1238,-108.45233,75,Canada
CA - SK - Moose Jaw,Moose Jaw,50.40702853195533,-105.53019023952888,22225,North Dakota
CA - SK - Moosomin,Moosomin,50.14649599999999,-101.66027,22225,North Dakota
CA - SK - North Battleford,North Battleford,52.761417388916,-108.28614044189,28470,Edmonton
CA - SK - Prince Albert,Prince Albert,53.180355,-105.746717,75,Canada
CA - SK - Regina,Regina,50.44502140347948,-104.59976964145304,22225,North Dakota
CA - SK - Regina ,Regina ,50.433334,-104.666664,22225,North Dakota
CA - SK - Saskatoon,Saskatoon,52.14395097731586,-106.67049502943571,75,Canada
CA - SK - Swift Current,Swift Current,50.30065177240461,-107.78998806866,22221,Montana
CA - SK - Warman,Warman,52.329063415527,-106.5777130127,75,Canada
CA - SK - Yorkton,Yorkton,51.2111619000245,-102.449028636475,50494,Winnipeg
CA - Saanichton,Saanichton,48.59404814697268,-123.39863370157832,617,Victoria
CA - Saguenay,Saguenay,48.413374442098,-71.06309961629233,50497,Tadoussac
CA - Saint Albert,Saint Albert,53.650171061621,-113.628713369434,28470,Edmonton
CA - Saint Andre,Saint Andre,47.070766,-67.78748,22870,New Brunswick
CA - Saint Andrews,Saint Andrews,45.0857,-67.06346,22871,Saint John
CA - Saint Anthony,Saint Anthony,51.37213,-55.6017,28792,St John's
CA - Saint Ferreol Les Neiges,Saint Ferreol Les Neiges,47.11806,-70.857956,626,Quebec City
CA - Saint Hyacinthe,Saint Hyacinthe,45.63955946842467,-72.96815934814467,625,Montreal
CA - Saint Jacobs,Saint Jacobs,43.507366,-80.55417,50648,London
CA - Saint John,Saint John,46.1402895521179,-61.0656243433105,4413,Sydney
CA - Saint John's,Saint John's,47.57030197042044,-52.72603979849403,28792,St John's
CA - Saint Jovite,Saint Jovite,46.11556,-74.592674,28611,Mont Tremblant
CA - Saint Liboire,Saint Liboire,45.703182220459,-72.78197479248,625,Montreal
CA - Saint Paul,Saint Paul,53.98953,-111.2706,28470,Edmonton
CA - Saint Romuald,Saint Romuald,46.732044,-71.26465,626,Quebec City
CA - Saint Sauveur Des Monts,Saint Sauveur Des Monts,45.88997,-74.15534,28611,Mont Tremblant
CA - Saint Stephen,Saint Stephen,45.20982,-67.242905,22871,Saint John
CA - Saint Thomas,Saint Thomas,42.7763685,-81.16260249999999,50648,London
CA - Saint-Eustache,Saint-Eustache,45.58144,-73.88298,625,Montreal
CA - Saint-Jean-Sur-Richelieu,Saint-Jean-Sur-Richelieu,45.33215,-73.285805,625,Montreal
CA - Saint-Pascal,Saint-Pascal,47.53233,-69.82102,50497,Tadoussac
CA - Saint-Paulin,Saint-Paulin,46.451393,-73.00097,625,Montreal
CA - Saint-Sauveur,Saint-Sauveur,45.896907,-74.1473955,28611,Mont Tremblant
CA - Saint-Zotique,Saint-Zotique,45.2535,-74.22465,625,Montreal
CA - Sainte Agathe Des Monts,Sainte Agathe Des Monts,46.031822,-74.28622,28611,Mont Tremblant
CA - Sainte Anne de Beaupre,Sainte Anne de Beaupre,47.020618438721,-70.932304382324,626,Quebec City
CA - Sainte-Adele,Sainte-Adele,45.9469965,-74.166077,28611,Mont Tremblant
CA - Salmon Arm,Salmon Arm,50.70424352465818,-119.27941488214636,22562,Kamloops
CA - San Luis Potosi,San Luis Potosi,50.44705581665,-104.40187072754,22225,North Dakota
CA - Sarnia,Sarnia,42.98315,-82.408365,22934,Detroit
CA - Saskatchewan River Crossing,Saskatchewan River Crossing,51.97356656,-116.74475669,611,Banff
CA - Saskatoon,Saskatoon,52.13820665493109,-106.6688014476414,75,Canada
CA - Saugeen Shores,Saugeen Shores,44.43948,-81.38661,50915,Collingwood
CA - Sault Sainte Marie,Sault Sainte Marie,46.51843199224172,-84.33093077777784,22876,Mackinaw City
CA - Scugog,Scugog,44.1808593060305,-78.8900085095215,28610,Peterborough & the Kawarthas
CA - Sechelt,Sechelt,49.48137,-123.757256,22365,Squamish
CA - Seguin,Seguin,45.291252068115,-79.9541184106445,51749,Muskoka Lakes
CA - Selkirk,Selkirk,50.155056,-96.89579,50494,Winnipeg
CA - Sept Iles,Sept Iles,50.22514,-66.39059,23636,Northwest Territories
CA - Sherbrooke,Sherbrooke,45.3811824,-71.913586,28145,Stowe
CA - Sherwood Park,Sherwood Park,53.56157842133532,-113.30760859066578,28470,Edmonton
CA - Sicamous,Sicamous,50.8390303161215,-118.96978065494834,50914,Revelstoke
CA - Sidney,Sidney,48.65267091200792,-123.40398127108617,617,Victoria
CA - Simcoe,Simcoe,42.8458480834965,-80.3087692260745,50648,London
CA - Slave Lake,Slave Lake,55.275272,-114.7788,260,Alberta
CA - Smithers,Smithers,54.781338129476005,-127.16520084554,261,British Columbia
CA - Smiths Falls,Smiths Falls,44.89805,-76.01653,622,Ottawa
CA - Sointula,Sointula,50.627822875977,-127.01757049561,30423,Vancouver Island
CA - Sooke,Sooke,48.361040214843776,-123.72768972222222,617,Victoria
CA - South Bruce Peninsula,South Bruce Peninsula,44.728103637695,-81.140762329102,50915,Collingwood
CA - Spaniard's Bay,Spaniard's Bay,47.608234,-53.28566,28792,St John's
CA - Spruce Grove,Spruce Grove,53.549953,-113.9348295,28470,Edmonton
CA - Squamish,Squamish,49.72161328925119,-123.147642931575,22365,Squamish
CA - St. Catharines,St. Catharines,43.17645837796457,-79.25848063302185,773,Niagara Falls & Around
CA - Steady Brook,Steady Brook,48.950836181641,-57.821674346924,4413,Sydney
CA - Steinbach,Steinbach,49.544635772705,-96.691314697266,50494,Winnipeg
CA - Stephenville,Stephenville,48.547993,-58.560654,4413,Sydney
CA - Stettler,Stettler,52.32528,-112.73267,28470,Edmonton
CA - Stirling,Stirling,49.503898,-112.529099,50559,West Glacier
CA - Stoneham-Et-Tewkesbury,Stoneham-Et-Tewkesbury,47.027657,-71.38046,626,Quebec City
CA - Stony Plain,Stony Plain,53.54007685714286,-113.97550714285714,28470,Edmonton
CA - Stoughton,Stoughton,49.669476,-103.02367,22225,North Dakota
CA - Stratford,Stratford,44.31524766666666,-75.00190466666668,23064,Clayton
